Attribute,Rule,RuleName,TestString,Column1,Count
city,,,,0,0
comment,920230,Multiple URL Encoding Detected,something%12#,1,12
comment,920271,Invalid character in request (non printable characters),,1,12
comment,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,12
comment,941100,XSS Attack Detected via libinjection,div style=test>,1,12
comment,941150,XSS Filter - Category 5: Disallowed HTML Attributes,style=,1,12
comment,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,12
comment,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,12
comment,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,12
comment,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,12
comment,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,12
comment,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12),°!$%&/#()[]*ß=\\,1,12
comment,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,12
customer_group,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,4
customer_group,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,4
customer_group,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,4
customer_group,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,4
invoice_receiver,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,4
invoice_receiver,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,4
invoice_receiver,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,4
invoice_receiver,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,4
labAssistant,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,6
labAssistant,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,6
labAssistant,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,6
labAssistant,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,6
labAssistant,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,6
labAssistant,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,6
labAssistantAdditionalInformation,920230,Multiple URL Encoding Detected,something%12#,1,12
labAssistantAdditionalInformation,920271,Invalid character in request (non printable characters),,1,12
labAssistantAdditionalInformation,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,12
labAssistantAdditionalInformation,941100,XSS Attack Detected via libinjection,div style=test>,1,12
labAssistantAdditionalInformation,941150,XSS Filter - Category 5: Disallowed HTML Attributes,style=,1,12
labAssistantAdditionalInformation,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,12
labAssistantAdditionalInformation,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,12
labAssistantAdditionalInformation,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,12
labAssistantAdditionalInformation,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,12
labAssistantAdditionalInformation,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,12
labAssistantAdditionalInformation,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12),°!$%&/#()[]*ß=\\,1,12
labAssistantAdditionalInformation,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,12
name,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,2
name,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,2
password,920230,Multiple URL Encoding Detected,something%12#,1,13
password,920271,Invalid character in request (non printable characters),,1,13
password,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,13
password,941100,XSS Attack Detected via libinjection,div style=test>,1,13
password,941150,XSS Filter - Category 5: Disallowed HTML Attributes,style=,1,13
password,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,13
password,942100,SQL Injection Attack Detected via libinjection,Testing1234567890!@#,1,13
password,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,13
password,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,13
password,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,13
password,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,13
password,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12),°!$%&/#()[]*ß=\\,1,13
password,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,13
probeCollector,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,6
probeCollector,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,6
probeCollector,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,6
probeCollector,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,6
probeCollector,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,6
probeCollector,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,6
probeCollectorAdditionalInformation,920230,Multiple URL Encoding Detected,something%12#,1,12
probeCollectorAdditionalInformation,920271,Invalid character in request (non printable characters),,1,12
probeCollectorAdditionalInformation,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,12
probeCollectorAdditionalInformation,941100,XSS Attack Detected via libinjection,div style=test>,1,12
probeCollectorAdditionalInformation,941150,XSS Filter - Category 5: Disallowed HTML Attributes,style=,1,12
probeCollectorAdditionalInformation,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,12
probeCollectorAdditionalInformation,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,12
probeCollectorAdditionalInformation,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,12
probeCollectorAdditionalInformation,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,12
probeCollectorAdditionalInformation,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,12
probeCollectorAdditionalInformation,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12),°!$%&/#()[]*ß=\\,1,12
probeCollectorAdditionalInformation,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,12
street,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,2
street,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,2
values.comment ,920230,Multiple URL Encoding Detected,something%12#,1,12
values.comment ,920271,Invalid character in request (non printable characters),,1,12
values.comment ,931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,https://some.url,1,12
values.comment ,941100,XSS Attack Detected via libinjection,div style=test>,1,12
values.comment ,941150,XSS Filter - Category 5: Disallowed HTML Attributes,style=,1,12
values.comment ,941180,Node-Validator Blacklist Keywords,foo@example.com --> send update every month,1,12
values.comment ,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,12
values.comment ,942130,SQL Injection Attack: SQL Tautology Detected.,foo@example.com <= send update every month!,1,12
values.comment ,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,12
values.comment ,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,12
values.comment ,942430,Restricted SQL Character Anomaly Detection (args): # of special characters exceeded (12),°!$%&/#()[]*ß=\\,1,12
values.comment ,942440,SQL Comment Sequence Detected.,foo@example.com -> use template #5 always!,1,12
values.operator ,942120,SQL Injection Attack: SQL Operator Detected,something <= something,1,3
values.operator ,942390,SQL Injection Attack,Check for values greater than 25°C or 77°F,1,3
values.operator ,942400,SQL Injection Attack,Check for values between 25 and 30°C,1,3
